Category,CountryA3,Sector
services,BTN,Post and Telecommunications
services,BTN,Private Households
services,BTN,Recycling
transport,BTN,Re-export & Re-import
transport,BTN,Retail Trade
transport,BTN,Transport
transport,BTN,Transport Equipment
transport,BTN,Wholesale Trade
water,BTN,"Electricity, Gas and Water"
wood processing,BTN,Wood and Paper
agriculture,BWA,Agriculture
fishery,BWA,Fishing
food processing,BWA,Food & Beverages
fuel,BWA,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,BWA,Electrical and Machinery
manufacturing,BWA,Finacial Intermediation and Business Activities
manufacturing,BWA,Metal Products
manufacturing,BWA,Other Manufacturing
manufacturing,BWA,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,BWA,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,BWA,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,BWA,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,BWA,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,BWA,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,BWA,Primary Inputs_Taxes on production D_29
primary non-agricultural products,BWA,Mining and Quarrying
public services,BWA,Public Administration
research,BWA,"Education, Health and Other Services"
services,BWA,Construction
services,BWA,Hotels and Restraurants
services,BWA,Maintenance and Repair
services,BWA,Others
services,BWA,Post and Telecommunications
services,BWA,Private Households
services,BWA,Recycling
transport,BWA,Re-export & Re-import
transport,BWA,Retail Trade
transport,BWA,Transport
transport,BWA,Transport Equipment
transport,BWA,Wholesale Trade
water,BWA,"Electricity, Gas and Water"
wood processing,BWA,Wood and Paper
agriculture,CAF,Agriculture
fishery,CAF,Fishing
food processing,CAF,Food & Beverages
fuel,CAF,"Petroleum, Chemical and Non-Metallic Mineral Products"
manufacturing,CAF,Electrical and Machinery
manufacturing,CAF,Finacial Intermediation and Business Activities
manufacturing,CAF,Metal Products
manufacturing,CAF,Other Manufacturing
manufacturing,CAF,Textiles and Wearing Apparel
Primary Inputs_Compensation of employees D_1,CAF,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,CAF,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,CAF,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,CAF,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,CAF,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,CAF,Primary Inputs_Taxes on production D_29
primary non-agricultural products,CAF,Mining and Quarrying
public services,CAF,Public Administration
research,CAF,"Education, Health and Other Services"
services,CAF,Construction
services,CAF,Hotels and Restraurants
services,CAF,Maintenance and Repair
services,CAF,Others
services,CAF,Post and Telecommunications
services,CAF,Private Households
services,CAF,Recycling
transport,CAF,Re-export & Re-import
transport,CAF,Retail Trade
transport,CAF,Transport
transport,CAF,Transport Equipment
transport,CAF,Wholesale Trade
water,CAF,"Electricity, Gas and Water"
wood processing,CAF,Wood and Paper
agriculture,CAN,"Agriculture, hunting, forestry and fishing"
buildings,CAN,Building & repairing of ships & boats
chemicals,CAN,Chemicals excluding pharmaceuticals
food processing,CAN,"Food products, beverages and tobacco"
fuel,CAN,"Coke, refined petroleum products and nuclear fuel"
fuel,CAN,Manufacture of gas; distribution of gaseous fuels through mains
fuel,CAN,Mining and quarrying (energy)
fuel,CAN,"Production, collection and distribution of electricity"
manufacturing,CAN,Aircraft & spacecraft
manufacturing,CAN,"Electrical machinery & apparatus, nec"
manufacturing,CAN,"Fabricated metal products, except machinery & equipment"
manufacturing,CAN,"Machinery & equipment, nec"
manufacturing,CAN,Manufacturing nec; recycling (include Furniture)
manufacturing,CAN,"Medical, precision & optical instruments"
manufacturing,CAN,"Motor vehicles, trailers & semi-trailers"
manufacturing,CAN,"Office, accounting & computing machinery"
manufacturing,CAN,Other non-metallic mineral products
manufacturing,CAN,Pharmaceuticals
manufacturing,CAN,"Radio, television & communication equipment"
manufacturing,CAN,Rubber & plastics products
manufacturing,CAN,Steam and hot water supply
manufacturing,CAN,"Textiles, textile products, leather and footwear"
Primary Inputs_Compensation of employees D_1,CAN,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,CAN,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,CAN,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,CAN,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,CAN,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,CAN,Primary Inputs_Taxes on production D_29
primary non-agricultural products,CAN,Iron & steel
primary non-agricultural products,CAN,Mining and quarrying (non-energy)
primary non-agricultural products,CAN,Non-ferrous metals
public services,CAN,Public admin_ & defence; compulsory social security
research,CAN,Education
research,CAN,Research & development
services,CAN,Computer & related activities
services,CAN,Construction
services,CAN,Finance & insurance
services,CAN,Health & social work
services,CAN,Hotels & restaurants
services,CAN,Other Business Activities
services,CAN,"Other community, social & personal services"
services,CAN,Post & telecommunications
services,CAN,Private households with employed persons & extra-territorial organisations & bodies
services,CAN,Real estate activities
services,CAN,Renting of machinery & equipment
services,CAN,Wholesale & retail trade; repairs
transport,CAN,Air transport
transport,CAN,Land transport; transport via pipelines
transport,CAN,Railroad equipment & transport equip nec_
transport,CAN,Re-export
transport,CAN,Supporting and auxiliary transport activities; activities of travel agencies
transport,CAN,Water transport
water,CAN,"Collection, purification and distribution of water"
wood processing,CAN,"Pulp, paper, paper products, printing and publishing"
wood processing,CAN,Wood and products of wood and cork
agriculture,CHE,"Products of agriculture, forestry and fishing "
food processing,CHE,"Food products, beverages and tobacco products"
fuel,CHE,"Coke, refined petroleum products and nuclear fuel; chemicals and chemical products"
manufacturing,CHE,Computer and related services
manufacturing,CHE,"Fabricated metal products, except machinery and equipment"
manufacturing,CHE,Furniture; other manufactured goods n_e_c_
manufacturing,CHE,Machinery and equipment n_e_c_
manufacturing,CHE,"Medical, precision and optical instruments, watches and clocks"
manufacturing,CHE,"Motor vehicles, trailers and semi-trailers"
manufacturing,CHE,"Office machinery, computers and electrical machinery n_e_c_"
manufacturing,CHE,Other non-metallic mineral products
manufacturing,CHE,Printed matter and recorded media
manufacturing,CHE,"Radio, television and communication equipment and apparatus"
manufacturing,CHE,Rubber and plastic products
manufacturing,CHE,Secondary raw materials
manufacturing,CHE,Textiles
Primary Inputs_Compensation of employees D_1,CHE,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,CHE,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,CHE,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,CHE,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,CHE,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,CHE,Primary Inputs_Taxes on production D_29
primary non-agricultural products,CHE,Basic metals
primary non-agricultural products,CHE,Products of mining and quarrying
public services,CHE,Public administration and defence services; compulsory social security services
remaining,CHE,Leather and leather products
remaining,CHE,"Wearing apparel, furs"
research,CHE,Education services
research,CHE,Research and development services
services,CHE,Construction work
services,CHE,"Financial intermediation services, except insurance and pension funding services"
services,CHE,Health and social work services
services,CHE,Hotel and restaurant services
services,CHE,"Insurance and pension funding services, except compulsory social security services (includes also part of CPA 67)"
services,CHE,"Membership organisation services n_e_c_; recreational, cultural and sporting services"
services,CHE,Other services; private households with employed persons
services,CHE,Post and telecommunication services
services,CHE,Real estate services (incl_ private households)
services,CHE,Renting of machinery and equipment without operator and of personal and household goods; other business services
services,CHE,"Sewage and refuse disposal services, sanitation and similar services"
transport,CHE,Other transport equipment
transport,CHE,Re-export
transport,CHE,Supporting and auxiliary transport services; travel agency services
transport,CHE,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,CHE,Transport services
transport,CHE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles, Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
water,CHE,"Electrical energy, gas, steam, hot water; collected and purified water and distribution services of water"
wood processing,CHE,"Pulp, paper and paper products"
wood processing,CHE,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
alcohol,CHL,Beer
alcohol,CHL,Liquors & Spirits
alcohol,CHL,Wines
chemicals,CHL,Basic Chemicals
chemicals,CHL,Other chemicals
crops,CHL,Agricultural Products
crops,CHL,Fruits
fishery,CHL,Seafood
fishery,CHL,Seafood_1
food processing,CHL,Animal feed
food processing,CHL,Canned fruits and vegetables
food processing,CHL,Non-alcoholic beverages
food processing,CHL,Other food products
food processing,CHL,Snuff products
forestry,CHL,Forestry products
fuel,CHL,Coal
fuel,CHL,Crude oil
fuel,CHL,Electricity
fuel,CHL,Fuel and other petroleum products
fuel,CHL,Gas
livestock,CHL,Livestock and livestock products
livestock,CHL,Meat
livst_milk,CHL,Dairy Products
manufacturing,CHL,Basic products of nonferrous metals
manufacturing,CHL,Clothing
manufacturing,CHL,Footwear
manufacturing,CHL,Furniture
manufacturing,CHL,Glass and glass products
manufacturing,CHL,Machinery and electrical equipment
manufacturing,CHL,Metal products
manufacturing,CHL,Non-electrical machinery and equipment
manufacturing,CHL,Non-metallic mineral products
manufacturing,CHL,Other manufactured products
manufacturing,CHL,Plastic Products
manufacturing,CHL,Rubber Products
manufacturing,CHL,Textiles
milling,CHL,"Bread, noodles and pasta"
milling,CHL,Grain mill products
oils,CHL,Oils and fats
Primary Inputs_Compensation of employees D_1,CHL,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,CHL,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,CHL,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,CHL,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,CHL,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,CHL,Primary Inputs_Taxes on production D_29
primary non-agricultural products,CHL,Basic iron and steel
primary non-agricultural products,CHL,Copper
primary non-agricultural products,CHL,Iron
primary non-agricultural products,CHL,Other Minerals
public infrastructure,CHL,Communications services
public infrastructure,CHL,Trucking passengers services 
public services,CHL,Public administration
public services,CHL,Public Health Service
remaining,CHL,Leather and leather products
research,CHL,Private Education Services
research,CHL,Public education service
services,CHL,Air transport services
services,CHL,Business Services
services,CHL,Commercial Services
services,CHL,Construction
services,CHL,Financial Services
services,CHL,Forms and records
services,CHL,Home ownership Services
services,CHL,Hotel services
services,CHL,Insurance services
services,CHL,Other goods and services
services,CHL,Other miscellaneous services
services,CHL,Private health service
services,CHL,Real Estate Services
services,CHL,Recreational
services,CHL,Restaurant services
sugar,CHL,Sugar and starch
transport,CHL,Freight trucking service
transport,CHL,Railway transport services
transport,CHL,Reexport
transport,CHL,Shipping services
transport,CHL,Transport related services
transport,CHL,Transportation equipment
water,CHL,Water
wood processing,CHL,Paper and paper products
wood processing,CHL,Wood and wood products
alcohol,CHN,"Wines, spirits and liquors"
chemicals,CHN,Chemical products for daily use
chemicals,CHN,Chemicals for special usages
chemicals,CHN,Raw chemical materials
crops,CHN,Crop cultivation
fertilizers,CHN,Chemical fertilizers
fishery,CHN,Fishery
foddr,CHN,Feeding stuff production and processing
food processing,CHN,Cotton textiles
food processing,CHN,Hemp textiles 
food processing,CHN,Non-alcoholic beverage
food processing,CHN,Other food products
food processing,CHN,Prepared fish and seafood
food processing,CHN,"Slaughtering , meat processing, eggs and dairy products"
food processing,CHN,Tobacco products
forestry,CHN,Forestry
forestry,CHN,Logging and transport of timber and bamboo
fuel,CHN,Coal mining and processing
fuel,CHN,Coking
fuel,CHN,Crude petroleum products and Natural gas products
fuel,CHN,Electricity and steam production and supply 
fuel,CHN,Gas production and supply
fuel,CHN,Petroleum refining
livestock,CHN,Livestock and livestock products
manufacturing,CHN,"Agriculture, forestry, animal husbandry and fishing machinery"
manufacturing,CHN,Alloy iron smelting 
manufacturing,CHN,Arts and crafts products
manufacturing,CHN,"Boiler, engines and turbine"
manufacturing,CHN,Cement and cement asbestos products
manufacturing,CHN,Chemical fibers
manufacturing,CHN,"Chemicals for painting, dying and others"
manufacturing,CHN,Communication equipment
manufacturing,CHN,Cultural and office equipment
manufacturing,CHN,Electronic appliances
manufacturing,CHN,Electronic computer
manufacturing,CHN,Electronic element and device
